Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Taufiq R. Abdullah,,,DPR RI,,Ida Fauziyah (istri),
Aksa Mahmud,,,Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia,,"Ramlah Kalla (istri, adik Jusuf Kalla)",Erwin Aksa (anak); Sadikin Aksa (anak); Melinda Aksa (anak); Atira Aksa (anak); Subhan Aksa (anak); Jusuf Kalla (kakak ipar); Jusuf Manggabarani (besan); Munafri Arifuddin (menantu)
Jusuf Kalla,,,Wakil Presiden Indonesia; Ketua Umum Partai Golongan Karya; Menteri Koordinator Bidang Kesejahteraan Rakyat Indonesia; Menteri Perindustrian dan Perdagangan Indonesia; Ketua Umum Palang Merah Indonesia,,"Mufidah (istri, menikah tahun 1967)","Solihin (anak, termasuk di antara 5 anak); Chairani (anak, termasuk di antara 5 anak); Kalla (ayah, Haji Kalla); Athirah (ibu); Aksa Mahmud (ipar); Jajang C. Noer (besan); Munafri Arifuddin (keponakan); Erwin Aksa (keponakan)"
Ridwan Kamil,,,Gubernur Jawa Barat; Wali Kota Bandung,,"Atalia Praratya (istri, menikah pada 7 Desember 1996)","Emmeril Kahn Mumtadz (Eril) (anak, putra sulung); Camillia Laetitia Azzahra (Zara) (anak, putri); Arkana Aidan Misbach (anak, anak angkat, diambil pada Juli 2020); Atje Misbach Muhjiddin (ayah); Tjutju Sukaesih (ibu); Elpi Nazmuzzaman (saudara, adik)"
Netty Prasetiyani,,,DPR RI,,"Ahmad Heryawan (suami, Gubernur Jawa Barat periode 2008–2018)",
Moehamad Soeparno,,,Direktur Utama Garuda Indonesia,,,"Eddy Soeparno (anak, politikus); Siti Masitha Soeparno (anak, mantan Wali kota Tegal); Irvan Soeparno (anak); Achmad Ivan Soeparno (anak)"
Sugiono (politikus),,,Menteri Luar Negeri Indonesia; DPR RI; Sekretaris Jenderal Partai Gerakan Indonesia Raya,,Marlyn Maisarah (istri),
Jihan Fahira,,,DPD RI,,"Primus Yustisio (suami, menikah 17 September 2004)",
Suryadharma Ali,,,Menteri Agama Indonesia; DPR RI; Menteri Koperasi Indonesia{{!}}Menteri Negara Koperasi dan Usaha Kecil Indonesia; Ketua Umum Partai Persatuan Pembangunan,,Wardatul Asriah (istri),
Nanda Indira Bastian,,,Bupati Pesawaran ke-3,,"Dendi Ramadhona (suami, Bupati Pesawaran ke-2 periode 2016–2025)",Zulkifli Anwar (mertua)
Sjachroedin Zainal Pagaralam,,,Duta Besar Indonesia untuk Kroasia ke-3; Gubernur Lampung ke-7,,Hj. Trully Trisno Prawoto Atmojo (istri),Zainal Abidin Pagaralam (ayah)
Ahmad Mumtaz Rais,,,DPR RI,,"Futri Zulya Savitri (istri, menikah 2011, bercerai 2022)","Amien Rais (ayah, mantan Ketua MPR); Kusnasriyati Sri Rahayu (ibu); Ahmad Hanafi Rais (kakak); Hanum Salsabiela Rais (kakak); Abdul Rozaq Rais (paman); Rangga Almahendra (kakak ipar); Ridho Rahmadi (adik ipar)"
Zumi Zola,,,Gubernur Jambi ke-8; Bupati Tanjung Jabung Timur ke-2,,"Sherrin Tharia (istri, menikah 2012, bercerai 2020; pemain biola, putri dari Tengku Malinda); Putri Zulkifli Hasan (istri, menikah 5 Desember 2024)","Zulkifli Nurdin (ayah, Gubernur Jambi dua periode); Harmina Djohar (ibu, ibu kandung); Zumi Zovtan (saudara kandung); Zumisha Nudhia Zaguita (saudara kandung); Zumi Laza (saudara kandung); Sum Indra (sepupu); Diza Hazra Aljosha (sepupu); Zameer Zahid Abyadh Zola (anak, lahir 1 Agustus 2014); Zhafran Ziyadh At-Thahirah Zola (anak, lahir 22 Juni 2016)"
Diza Hazra Aljosha,,,Wakil Wali Kota Jambi ke-2,,Marsha Lystia (suami/istri),"Hazrin Nurdin (ayah, pengusaha); Zulkifli Nurdin (paman, mantan Gubernur Jambi); Zumi Zola (sepupu); Sum Indra (sepupu)"
Sum Indra,,,DPD RI; Wakil Wali Kota Jambi ke-5,,Luthfi Chalisyah Chaliri (suami/istri),"Petris (ayah); Dewi Asnah (ibu); Zulkifli Nurdin (paman, mantan Gubernur Jambi); Zumi Zola (sepupu); Diza Hazra Aljosha (sepupu); Nurdin Hamzah (kakek, saudagar, kakek dari pihak ibu atau ayah (disebut 'cucu dari'))"
Zulkifli Nurdin,,,Gubernur Jambi ke-6; DPR RI,,"Harmina Djohar (istri, menikah 1978, bercerai 1994); Ratu Munawaroh (istri, menikah 1997, berakhir dengan kematian 2018)","H. Nurdin Hamzah (ayah); Hj. Nurhasanah (ibu); Zumi Zola (anak, Gubernur Jambi periode 2016-2018)"
