Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Dhani Ahmad Prasetyo,Jawa Timur I,Gerindra,DPR RI; Wakil Bupati Bekasi,SD Muhammadiyah 6; SMP Negeri 6; SMA Negeri 2 Surabaya; Jurusan Ilmu Hukum di Universitas Pancasila tahun 1992,,
Puti Guntur Soekarno,Jawa Timur I,PDI-P,DPR RI,sekolah dasar di Yayasan Perguruan Cikini; SMP Yayasan Perguruan Cikini; SMA 1 Budi Utomo; S1 Administrasi Negara Fakultas Ilmu Sosial dan Ilmu Politik Universitas Indonesia.,,
Indah Kurnia,Jawa Timur I,PDI-P,DPR RI,,,
Adies Kadir,Jawa Timur I,Golkar,DPR RI,SD Negeri VII Selat Hilir; SMP Negeri 1 Samarinda dari tahun 1981 dan lulus pada tahun 1984; SMA Negeri 3 Kupang; S1 teknik sipil di Universitas Wijaya Kusuma Surabaya; S2 hukum di Universitas Merdeka Malang; S3 hukum di Universitas 17 Agustus 1945 Surabaya,,
Lita Machfud Arifin,Jawa Timur I,NasDem,DPR RI,,,
Reni Astuti,Jawa Timur I,PKS,DPR RI,SMAN Purwosari Pasuruan (1988-1991); Sarjana Statistika Institut Teknologi Sepuluh Nopember (1991-1996); Magister Pengembangan SDM Pasca Sarjana Universitas Airlangga (2021-2022); Kandidat Doktor Pengembangan SDM Sekolah Pasca Sarjana Universitas Airlangga,,
Arizal Tom Liwafa,Jawa Timur I,PAN,DPR RI,SD Mojokerto; SMP Mojokerto; Sarjana Teknik dari Institut Teknologi Adhi Tama Surabaya (ITATS); Magister Manajemen dari Universitas Ciputra pada tahun 2020; Magister Hukum dari di Universitas Pelita Harapan Surabaya,,
Lucy Kurniasari,Jawa Timur I,Demokrat,DPR RI,SD Negeri Simpang 02; SD Negeri Pacar Keling VIII; SMP Negeri 12 Kenjeran; SMA Negeri 5 Surabaya; Sekolah Tinggi Ilmu Ekonomi Indonesia 1986-1991,,
Faisol Riza,Jawa Timur II,PKB,DPR RI,Madrasah Ibtidaiyah Nahdlatul Ulama; SMP di Madrasah Tsanawiyah Nurul Jadid; SMA Madrasah Aliyah Nurul Jadid; Sekolah Tinggi Filsafat Driyarkara pada jurusan ilmu filsafat; S2 Universitas Indonesia dengan jurusan ilmu administrasi di Universitas Indonesia,,
Anisah Syakur,Jawa Timur II,PKB,DPR RI,MI Nahdlatul Ulama Pasuruan (1957-1963); MTs Daarul Ulum Pasuruan (1963-1966); MA AIN Daarul Ulum Pasuruan (1966-1969); S-1 Pendidikan Islam STAI Pancawahana Bangil (1986-1990); S-2 Pendidikan Islam Universitas Islam Malang (1998-2001),,
Mohammad Irsyad Yusuf,Jawa Timur II,PKB,DPR RI; Bupati Pasuruan,SD Negeri Purwosari; SMP Negeri Purwosari; SMA Negeri 1 Pandaan; Sarjana Ekonomi dari Fakultas Ekonomi dan Bisnis; S2 Agribisnis dari Universitas Pembangunan Nasional Veteran Jawa Timur di Surabaya; S3 bidang Ilmu Lingkungan dari Sekolah Pascasarjana Universitas Brawijaya,,
Muhammad Hilman Mufidi,Jawa Timur II,PKB,DPR RI,TK Madrasah Pembangunan milik UIN Jakarta; MI Madrasah Pembangunan milik UIN Jakarta; MTs Negeri Al Azhar Asyarif; SMA Kharisma Bangsa; S1 Fakultas Hukum UI,,
Anwar Sadad,Jawa Timur II,Gerindra,DPR RI; Wakil Ketua II DPRD Provinsi Jawa Timur; DPRD Provinsi Jawa Timur; Dosen Universitas Islam Negeri Sunan Ampel; DPRD Kabupaten Pasuruan; Dosen Sekolah Tinggi Agama Islam Salahuddin; Staf Pengajar Pondok Pesantren Sidogiri Pasuruan,SMA Madrasah Aliyah Negeri Pasuruan (1989-1992); S1 Studi Agama Agama - Universitas Islam Negeri Sunan Ampel (1998); S2 Studi Islam - Universitas Islam Negeri Sunan Ampel (2000); S3 Studi Islam (Bidang Ilmu Politik Islam) - Universitas Islam Negeri Sunan Ampel (2023),,
Mufti A.N. Anam,Jawa Timur II,PDI-P,DPR RI,SD; SMP; SMA Negeri 1 Genteng; S2 Ilmu Komunikasi di Universitas Padjadjaran Sumedang; S3 Ilmu Komunikasi di Universitas Padjadjaran Sumedang,,
